Titulares,P,CA,T,TaP,C,CP,CF,FR,FC,PI,BR,Reg,PA,P%,Eventos,partido,equipo,localizacion
Fernando Calero,-,-,0,0,0,0,0,1,2,1,0,1,0,75,,315,valladolid,local
Javi Moyano,-,-,0,0,0,0,0,3,0,2,1,0,0,65.2,,315,valladolid,local
Nacho Martínez,-,-,0,0,4,3,1,0,2,2,1,0,1,64.9,,315,valladolid,local
Rubén Alcaraz,-,-,1,0,3,0,0,4,1,2,2,0,0,82,,315,valladolid,local
Anuar Mohamed  81',-,-,1,0,0,0,0,3,3,0,0,1,0,72.7,,315,valladolid,local
Keko Gontán  61',-,-,1,1,4,0,2,0,3,0,1,1,0,61.9,,315,valladolid,local
Enes Ünal  76',-,-,3,2,1,0,1,0,2,0,0,0,0,64.7,,315,valladolid,local
Óscar Plano,-,-,0,0,4,2,0,2,4,0,0,1,2,69.4,,315,valladolid,local
Sergi Guardiola,-,-,2,1,3,0,1,4,4,0,1,0,0,55.2,,315,valladolid,local
David Soria,2,0,0,0,0,0,0,0,0,0,0,0,0,28.9,,315,getafe,visitante
Dakonam Djené,-,-,1,0,0,0,0,2,3,1,1,1,0,60.6,,315,getafe,visitante
Vitorino Antunes  37',-,-,0,0,1,1,0,0,0,2,0,1,1,42.9,,315,getafe,visitante
Leandro Cabrera,-,-,1,0,0,0,0,0,2,1,0,1,1,35.7,,315,getafe,visitante
Mathias Olivera  61',-,-,0,0,0,0,0,4,2,0,4,1,0,41.2,,315,getafe,visitante
Damián Suárez,-,-,0,0,7,2,0,4,0,0,0,1,2,60,,315,getafe,visitante
Francisco Portillo  71',-,-,0,0,1,0,0,2,0,2,0,0,0,72.7,,315,getafe,visitante
Mauro Arambarri,-,-,2,2,1,0,0,3,2,0,0,3,0,92.3,,315,getafe,visitante
Nemanja Maksimovic,-,-,0,0,0,0,0,0,0,1,2,1,0,52.9,,315,getafe,visitante
Jaime Mata,-,-,1,0,4,0,2,1,4,0,0,0,0,54.8,,315,getafe,visitante
Ángel Rodríguez  65',-,-,2,0,1,0,1,1,1,0,0,0,0,50,,315,getafe,visitante
Iago Herrerín,2,0,0,0,0,0,0,0,0,0,0,0,0,34.6,,316,athletic,local
Íñigo Martínez,-,-,0,0,1,0,0,1,1,1,1,0,0,71.4,,316,athletic,local
Yeray Álvarez,-,-,1,1,0,0,0,0,0,1,1,0,0,85.7,,316,athletic,local
Yuri Berchiche  60',-,-,0,0,1,0,0,2,0,1,1,0,0,84.6,,316,athletic,local
Óscar De Marcos,-,-,0,0,2,0,0,0,1,0,3,0,1,81.8,,316,athletic,local
Beñat Etxebarria,-,-,1,0,3,1,0,0,0,0,2,0,2,76.3,,316,athletic,local
Iker Muniaín  88',-,-,2,1,3,1,1,0,2,0,0,1,2,78.4,,316,athletic,local
Íñigo Córdoba,-,-,1,0,3,0,1,1,1,6,1,2,2,77.3,,316,athletic,local
Dani García  57',-,-,0,0,1,0,0,0,0,1,3,0,0,72,,316,athletic,local
Raúl García,-,-,4,2,1,0,1,7,4,0,3,1,1,71.4,,316,athletic,local
Iñaki Williams,-,-,3,3,1,0,0,1,1,0,0,5,2,64.7,,316,athletic,local
Alberto García,5,0,0,0,0,0,0,1,0,1,0,0,0,41.2,,316,rayo,visitante
Tito,-,-,0,0,1,0,0,1,0,2,1,0,0,80.6,,316,rayo,visitante
Álex Moreno  72',-,-,2,1,1,0,1,1,2,3,1,1,0,76.2,,316,rayo,visitante
Jordi Amat,-,-,0,0,0,0,0,1,3,2,2,1,0,70,,316,rayo,visitante
Luis Advíncula  51',-,-,0,0,0,0,0,1,3,3,3,1,0,85.7,,316,rayo,visitante
Abdoulaye Ba,-,-,0,0,0,0,0,0,2,1,2,0,0,80.6,,316,rayo,visitante
Álvaro Medrán  68',-,-,0,0,4,1,0,1,1,0,0,3,1,83.7,,316,rayo,visitante
Mario Suárez,-,-,2,1,0,0,0,1,3,0,2,0,0,81.6,,316,rayo,visitante
José Ángel Pozo  78',-,-,0,0,0,0,1,0,0,0,1,6,3,87.5,,316,rayo,visitante
